"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2010","95.98","95.36","96.08","94.87","53.02K","0.63%"
"08/23/2010","95.38","95.40","95.71","95.20","32.88K","-0.24%"
"08/20/2010","95.61","94.87","95.69","94.72","116.65K","1.00%"
"08/19/2010","94.66","94.29","95.03","94.29","24.84K","0.56%"
"08/18/2010","94.13","94.08","94.19","93.33","28.13K","0.19%"
"08/17/2010","93.95","94.50","94.75","93.68","25.52K","-0.10%"
"08/16/2010","94.04","93.92","94.59","93.79","52.71K","0.20%"
"08/13/2010","93.85","93.27","94.00","93.08","27.95K","0.68%"
"08/12/2010","93.22","91.89","93.78","91.67","84.79K","1.86%"
"08/11/2010","91.52","90.73","92.24","90.52","56.15K","1.51%"
"08/10/2010","90.16","89.89","90.13","89.50","17.56K","0.50%"
"08/09/2010","89.71","90.83","90.83","89.49","27.99K","-0.29%"
"08/06/2010","89.97","89.62","89.94","89.37","37.88K","0.32%"
"08/05/2010","89.68","89.91","89.93","89.32","24.81K","-0.55%"
"08/04/2010","90.18","89.05","90.25","89.05","86.34K","1.46%"
"08/03/2010","88.88","88.64","88.94","88.06","26.80K","0.29%"
"08/02/2010","88.62","89.31","89.61","88.64","27.96K","-0.35%"
"07/30/2010","88.93","88.00","89.12","88.00","24.39K","1.29%"
"07/29/2010","87.80","88.45","88.48","87.47","33.94K","-0.25%"
"07/28/2010","88.02","88.28","88.49","87.80","63.98K","-0.61%"
"07/27/2010","88.56","89.98","90.23","88.35","63.44K","-1.93%"
"07/26/2010","90.30","91.06","91.33","89.98","18.25K","-1.41%"
"07/23/2010","91.59","91.70","92.36","91.35","29.92K","-0.02%"
"07/22/2010","91.61","91.61","91.80","91.00","40.27K","-0.35%"
"07/21/2010","91.93","91.25","92.48","91.10","47.82K","0.76%"
"07/20/2010","91.24","89.92","91.37","89.82","39.82K","1.27%"
"07/19/2010","90.10","91.32","91.32","89.68","64.94K","-1.04%"
"07/16/2010","91.05","92.45","92.45","90.50","59.04K","-1.90%"
"07/15/2010","92.81","93.88","94.00","92.35","19.08K","-1.39%"
"07/14/2010","94.12","94.47","94.47","93.75","36.55K","-0.52%"
"07/13/2010","94.61","94.29","95.47","94.29","28.28K","0.39%"
"07/12/2010","94.24","94.79","94.98","94.05","93.72K","-0.30%"
"07/09/2010","94.52","92.97","94.80","92.97","43.05K","1.78%"
"07/08/2010","92.87","94.26","94.26","92.57","48.07K","-0.56%"
"07/07/2010","93.39","93.33","93.65","93.06","64.33K","0.13%"
"07/06/2010","93.27","95.00","95.14","93.02","35.23K","-2.00%"
"07/05/2010","95.17","95.56","95.56","95.10","35.43K","0.40%"
"07/02/2010","94.79","96.30","96.30","94.28","79.41K","-1.75%"
"07/01/2010","96.48","100.28","100.38","96.34","64.18K","-3.49%"
"06/30/2010","99.97","100.42","100.61","99.58","41.55K","-0.31%"
"06/29/2010","100.28","99.87","100.40","99.60","72.32K","0.16%"
"06/28/2010","100.12","100.26","101.27","99.76","38.90K","-0.63%"
"06/25/2010","100.75","99.62","100.93","99.62","34.72K","0.71%"
"06/24/2010","100.04","99.00","100.10","98.49","49.20K","0.48%"
"06/23/2010","99.56","99.74","100.24","98.99","87.58K","-0.20%"
"06/22/2010","99.76","99.30","99.99","99.15","35.38K","-0.21%"
"06/21/2010","99.97","100.08","100.68","99.92","61.30K","-0.62%"
"06/18/2010","100.59","99.39","100.68","99.05","46.47K","1.00%"
"06/17/2010","99.59","99.43","99.70","98.34","33.54K","0.76%"
"06/16/2010","98.84","98.89","99.65","98.68","27.81K","0.41%"
"06/15/2010","98.44","99.23","99.35","98.27","49.07K","0.49%"
"06/14/2010","97.96","100.09","100.09","97.90","34.49K","-2.44%"
"06/11/2010","100.41","99.70","100.57","99.29","66.06K","0.75%"
"06/10/2010","99.66","100.95","101.01","98.93","58.30K","-0.67%"
"06/09/2010","100.33","102.00","102.27","99.96","104.70K","-2.38%"
"06/08/2010","102.78","102.35","103.86","102.34","106.64K","0.62%"
"06/07/2010","102.15","99.25","102.17","99.25","90.82K","3.08%"
"06/04/2010","99.10","97.84","99.15","97.20","54.84K","0.66%"
"06/03/2010","98.45","98.49","98.75","97.85","31.33K","-0.20%"
"06/02/2010","98.65","98.95","98.95","98.34","13.02K","-0.14%"
"06/01/2010","98.79","98.50","99.80","97.94","114.77K","0.90%"
"05/31/2010","97.91","96.45","98.88","96.00","22.95K","1.43%"
"05/28/2010","96.53","97.19","97.22","96.30","28.18K","-1.10%"
"05/27/2010","97.60","97.48","98.18","97.00","61.15K","-0.58%"
"05/26/2010","98.17","96.96","98.30","96.89","38.00K","1.64%"
"05/25/2010","96.59","95.74","97.00","95.50","107.10K","1.62%"
"05/24/2010","95.05","94.01","95.27","93.91","38.94K","1.89%"
"05/21/2010","93.29","94.00","94.00","92.26","89.60K","-1.90%"
"05/20/2010","95.10","95.16","98.50","94.08","125.27K","-0.97%"
"05/19/2010","96.03","96.57","99.08","95.65","176.90K","-1.54%"
"05/18/2010","97.53","98.22","98.22","96.02","116.92K","-1.53%"
"05/17/2010","99.05","99.50","99.53","97.80","97.15K","1.51%"
"05/14/2010","97.58","97.34","99.06","96.97","295.64K","0.09%"
"05/13/2010","97.49","96.65","97.72","96.45","236.51K","0.72%"
"05/12/2010","96.79","96.00","97.10","95.45","115.98K","2.06%"
"05/11/2010","94.84","93.81","95.24","93.60","244.80K","2.63%"
"05/10/2010","92.41","92.36","92.65","89.71","206.63K","-1.62%"
"05/07/2010","93.93","93.00","94.23","92.57","99.21K","1.79%"
"05/06/2010","92.28","90.98","92.36","90.78","147.02K","2.40%"
"05/05/2010","90.12","89.12","90.27","88.96","123.51K","1.30%"
"05/04/2010","88.96","88.48","90.10","88.42","97.33K","0.11%"
"05/03/2010","88.86","88.00","88.94","87.93","37.29K","1.31%"
"04/30/2010","87.71","87.25","87.88","87.05","144.31K","0.70%"
"04/29/2010","87.10","87.27","87.45","86.81","166.31K","-0.42%"
"04/28/2010","87.47","86.68","87.62","86.68","139.45K","1.29%"
"04/27/2010","86.36","85.52","86.48","85.20","66.08K","0.82%"
"04/26/2010","85.66","85.53","85.80","85.52","21.09K","0.29%"
"04/23/2010","85.41","84.91","85.54","84.46","54.51K","1.08%"
"04/22/2010","84.50","84.57","84.73","84.23","51.16K","0.25%"
"04/21/2010","84.29","84.22","84.37","84.11","27.69K","0.56%"
"04/20/2010","83.82","84.98","86.48","83.53","48.85K","0.75%"
"04/19/2010","83.20","83.28","83.47","82.70","67.66K","-0.26%"
"04/16/2010","83.42","84.19","84.52","83.10","37.11K","-1.21%"
"04/15/2010","84.44","83.71","84.54","83.71","19.67K","0.70%"
"04/14/2010","83.85","83.75","84.44","83.64","32.25K","0.19%"
"04/13/2010","83.69","84.00","84.03","83.50","65.76K","-1.17%"
"04/12/2010","84.68","85.20","85.20","84.26","30.05K","-0.56%"
"04/09/2010","85.16","85.21","85.50","84.72","118.18K","0.01%"
"04/08/2010","85.15","85.15","85.47","85.06","59.41K","0.37%"
"04/07/2010","84.84","84.14","84.92","83.66","31.24K","0.89%"
"04/06/2010","84.09","82.72","84.16","82.72","30.60K","2.21%"
"04/01/2010","82.27","81.51","82.50","81.51","30.45K","1.11%"
"03/31/2010","81.37","81.64","81.89","81.36","21.39K","0.10%"
"03/30/2010","81.29","81.60","81.89","81.18","13.95K","-0.49%"
"03/29/2010","81.69","81.58","81.73","81.37","34.65K","0.41%"
"03/26/2010","81.36","81.20","81.50","80.68","23.39K","0.68%"
"03/25/2010","80.81","81.00","81.09","80.75","11.41K","-0.01%"
"03/24/2010","80.82","80.68","81.12","80.66","35.33K","0.02%"
"03/23/2010","80.80","80.71","80.76","80.25","17.69K","0.65%"
"03/22/2010","80.28","80.94","81.02","80.10","29.01K","-0.51%"
"03/19/2010","80.69","81.70","82.03","80.65","30.80K","-1.49%"
"03/18/2010","81.91","81.10","81.92","81.05","17.87K","1.19%"
"03/17/2010","80.95","81.00","81.20","80.70","15.98K","0.15%"
"03/16/2010","80.83","80.00","81.17","80.00","79.88K","1.30%"
"03/15/2010","79.79","79.53","79.92","79.47","13.59K","0.14%"
"03/12/2010","79.68","80.26","80.47","79.60","33.95K","-0.33%"
"03/11/2010","79.94","80.74","80.74","79.65","30.73K","-1.59%"
"03/10/2010","81.23","81.91","82.06","81.18","11.80K","-0.27%"
"03/09/2010","81.45","81.32","81.68","81.02","31.23K","0.14%"
"03/08/2010","81.34","82.52","82.52","81.32","29.79K","-1.68%"
"03/05/2010","82.73","82.52","82.95","82.50","25.30K","0.61%"
"03/04/2010","82.23","82.33","82.48","82.00","18.87K","-0.19%"
"03/03/2010","82.39","82.39","82.74","82.36","62.05K","-0.31%"
"03/02/2010","82.65","81.79","82.66","81.63","27.17K","1.03%"
"03/01/2010","81.81","81.38","81.89","81.18","16.85K","1.36%"
"02/26/2010","80.71","81.00","81.13","80.67","59.14K","0.25%"
"02/25/2010","80.51","79.97","80.73","79.96","23.66K","0.57%"
"02/24/2010","80.05","80.36","81.00","79.70","41.67K","-0.82%"
"02/23/2010","80.71","80.98","81.15","80.46","21.52K","-0.39%"
"02/22/2010","81.03","81.86","81.87","80.84","24.14K","-0.89%"
"02/19/2010","81.76","81.09","81.88","81.04","23.76K","0.50%"
"02/18/2010","81.35","80.29","81.47","80.15","31.27K","0.53%"
"02/17/2010","80.92","80.49","81.07","80.48","20.23K","0.61%"
"02/16/2010","80.43","80.56","81.08","80.50","39.53K","0.56%"
"02/15/2010","79.98","79.29","80.09","79.29","19.08K","1.21%"
"02/12/2010","79.02","79.40","79.87","78.69","20.85K","0.15%"
"02/11/2010","78.90","77.53","79.02","77.53","28.95K","2.47%"
"02/10/2010","77.00","77.42","77.80","76.88","14.98K","-0.62%"
"02/09/2010","77.48","76.99","77.56","76.90","20.08K","0.30%"
"02/08/2010","77.25","77.14","77.46","76.97","64.10K","0.69%"
"02/05/2010","76.72","76.85","76.85","76.02","42.30K","0.25%"
"02/04/2010","76.53","78.91","79.00","76.50","43.28K","-3.22%"
"02/03/2010","79.08","79.38","79.42","78.70","15.04K","0.39%"
"02/02/2010","78.77","78.20","79.10","78.20","37.39K","0.97%"
"02/01/2010","78.01","77.13","78.03","76.84","8.77K","1.67%"
"01/29/2010","76.73","76.83","76.92","76.57","19.55K","-0.25%"
"01/28/2010","76.92","76.88","77.28","76.78","10.35K","-0.31%"
"01/27/2010","77.16","77.00","77.35","76.76","9.06K","0.10%"
"01/26/2010","77.08","76.76","77.26","76.36","23.51K","0.46%"
"01/25/2010","76.73","76.96","77.00","76.52","24.94K","0.39%"
"01/22/2010","76.43","76.81","76.81","75.99","42.79K","-0.62%"
"01/21/2010","76.91","78.00","78.21","76.85","22.99K","-1.28%"
